Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
1.01,,,"Live horses, asses, mules and hinnies:",,
,,,Horses:,,
0101.21.00,,,Pure-bred breeding animals,Free,Free
,,,Thoroughbred:,,
,,,Race breeding stock:,,
,10E,No.,Stallions,,
,15F,No.,Mares,,
,,,Other sport breeding stock:,,
,17B,No.,Stallions,,
,19J,No.,Mares,,
,,,Other:,,
,23G,No.,Stallions,,
,27K,No.,Mares,,
,,,Standardbred:,,
,,,Race breeding stock:,,
,31H,No.,Stallions,,
,33D,No.,Mares,,
,,,Other sport breeding stock:,,
,35L,No.,Stallions,,
,37G,No.,Mares,,
,,,Other:,,
,41E,No.,Stallions,,
,49L,No.,Mares,,
0101.29.00,,,Other,Free,Free
,,,For racing:,,
,,,Thoroughbred:,,
,10A,No.,"Stallions, colts and geldings",,
,13F,No.,Mares and fillies,,
,,,Standardbred:,,
,15B,No.,"Stallions, colts and geldings",,
,17J,No.,Mares and fillies,,
,,,For other sports:,,
,,,Thoroughbred:,,
,21G,No.,"Stallions, colts and geldings",,
,23C,No.,Mares and fillies,,
,,,Standardbred:,,
,27F,No.,"Stallions, colts and geldings",,
,29B,No.,Mares and fillies,,
,,,Other:,,
,33L,No.,Stallions,,
,35G,No.,Mares,,
,39K,No.,Other,,
0101.30.00,,,Asses,Free,Free
,10D,No.,Pure-bred breeding animals,,
,19H,No.,Other,,
0101.90.00,00J,No.,Other,Free,Free
1.02,,,Live bovine animals:,,
,,,Cattle:,,
0102.21.00,,,Pure-bred breeding animals,Free,Free
,10C,No.,Dairy,,
,19G,No.,Beef,,
0102.29.00,,,Other,Free,Free
,,,For breeding:,,
,10K,No.,Dairy,,
,19C,No.,Beef,,
,29L,No.,Other,,
,,,Buffalo:,,
0102.31.00,,,Pure-bred breeding animals,Free,Free
,10G,No.,Dairy,,
,19L,No.,Beef,,
0102.39.00,,,Other,Free,Free
,,,For breeding:,,
,10C,No.,Dairy,,
,19G,No.,Beef,,
,29D,No.,Other,,
,,,Live bovine animals—continued,,
0102.90.00,,,Other,Free,Free
,,,Pure-bred breeding animals:,,
,10D,No.,Dairy,,
,18K,No.,Beef,,
,,,Other:,,
,,,For breeding:,,
,23F,No.,Dairy,,
,25B,No.,Beef,,
